Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
incredible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
incredibly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
incredulous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
incredulously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inculcate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indebted,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
indecency,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecision,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecisive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecisively,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indecorum,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indefensible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indelicate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indeterminable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indeterminably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indeterminate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indifference,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indifferent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indigent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indignant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indignantly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indignation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indignity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscernible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscreet,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscreetly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscretion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscriminate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscriminately,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indiscriminating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indistinguishable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
individualized,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
indoctrinate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indoctrination,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indolent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indulge,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
indulgence,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
indulgent,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
industrious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
ineffective,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineffectively,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineffectiveness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineffectual,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineffectually,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineffectualness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inefficacious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inefficacy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inefficiency,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inefficient,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inefficiently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inelegance,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inelegant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineligible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineloquent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineloquently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inept,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineptitude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ineptly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inequalities,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inequality,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inequitable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inequitably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inequities,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inescapable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inescapably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inessential,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inestimable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inestimably,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inevitable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inevitably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexcusable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexcusably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexorable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexorably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexpensive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inexperience,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexperienced,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexpert,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexpertly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexpiable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inexplainable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inextricable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inextricably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infallibility,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
infallible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
infallibly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
infamous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infamously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infamy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infected,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infection,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infections,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inferior,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inferiority,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infernal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infested,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infidel,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infidels,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infiltrator,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infiltrators,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infirm,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflame,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflammation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflammatory,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflammed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflationary,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflexible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inflict,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
influential,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
infraction,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infringe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infringement,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infringements,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infuriate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infuriated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infuriating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
infuriatingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ingenious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
ingeniously,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
ingenuity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
ingenuous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
ingenuously,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inglorious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ingrate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ingratitude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhibit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhibition,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhospitable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhospitality,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhuman,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhumane,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inhumanity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inimical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inimically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
iniquitous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
iniquity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injudicious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injure,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injurious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injury,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injustice,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
injustices,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
innocuous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
innovation,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
innovative,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
innuendo,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inoperable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inopportune,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inordinate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inordinately,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inpressed,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
insane,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insanely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insanity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insatiable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insecure,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insecurity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insensible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insensitive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insensitively,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insensitivity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insidious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insidiously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insightful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
insightfully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
insignificance,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insignificant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insignificantly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insincere,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insincerely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insincerity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insinuate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insinuating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insinuation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insociable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insolence,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insolent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insolently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insolvent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insouciance,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inspiration,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inspirational,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inspire,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inspiring,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
instability,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
instable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
instantly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
instigate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
instigator,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
instigators,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
instructive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
instrumental,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
insubordinate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insubstantial,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insubstantially,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insufferable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insufferably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insufficiency,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insufficient,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insufficiently,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insular,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insult,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insulted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insulting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insultingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insults,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insupportable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insupportably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insurmountable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insurmountably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
insurrection,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intefere,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inteferes,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
integral,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
integrated,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intelligence,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intelligent,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intelligible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intense,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interesting,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
interests,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
interfere,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interference,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interferes,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intermittent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interrupt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interruption,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
interruptions,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intimacy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intimate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intimidate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intimidating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intimidatingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intimidation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intolerable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intolerablely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intolerance,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intoxicate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intractable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intransigence,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intransigent,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intricate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intrigue,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intriguing,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intriguingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
intrude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intrusion,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intrusive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
intuitive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inundate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inundated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invader,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invalid,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invalidate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invalidity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invaluable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invaluablely,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invasive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invective,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inveigle,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
inventive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invidious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invidiously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invidiousness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invigorate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invigorating,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invincibility,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invincible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inviolable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
inviolate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
invisible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
involuntarily,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
involuntary,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
invulnerable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
irascible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irately,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ire,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irked,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irksome,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irksomely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irksomeness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irksomenesses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ironic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ironical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ironically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
ironies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irony,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irragularity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrational,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrationalities,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrationality,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrationally,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrationals,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreconcilable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrecoverable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrecoverableness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrecoverablenesses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrecoverably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irredeemable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irredeemably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreformable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irregular,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irregularity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrelevance,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrelevant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreparable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreplaceable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
irreplacible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irrepressible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreproachable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
irresistible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
irresistibly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
irresolute,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irresolvable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irresponsible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irresponsibly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irretating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irretrievable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irreversible,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritant,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
irritations,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
isolate,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
isolated,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
isolation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
issue,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
issue-free,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
issues,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
itch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
itching,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
itchy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jabber,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jaded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jagged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jam,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jarring,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jaundiced,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jaw-droping,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jaw-dropping,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jealous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jealously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jealousness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jealousy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jeer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jeering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jeeringly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
